nest ID;call ID;dummy;enemy type;pres order;stage;date;PC;chick age;Philornis;time;approach;spp pres;ind pres;tot ind pres;ind alarm;tot ind alarm;parents alarm;parents alarm 1;parents pres;alarm calls;latency arrival;latency alarm;latency exit;latency exit pair;total time in;visibility;cloud cov;wind;peak freq;parents call initial;closest nb;number nb;number nest spp;sgf nb;nest height;hilo pattern
wfcln56;wfcln56-4;Owl;predator;4;Building;22.02.2024;;;18;06:21:00;1.5;1;1;3;0;1;1;1;2;25;120;174;;;300;100;10;0;6899.2383;1;11.1;1;2;0;4.5;
wfcln64;wfcln64-1;Owl;predator;1;Feeding;11.03.2024;;6;17;07:43:00;2;0;0;2;0;1;1;1;2;256;240;11;;;300;60;70;0;5882.8709;1;;0;1;0;5;
wfcln64;wfcln64-2;Ani;predator;2;Feeding;11.03.2024;;6;17;08:56:00;2;0;0;1;0;1;1;1;1;60;480;81;;;300;60;90;0;5813.9648;1;;0;1;0;5;
wfcln64;wfcln64-3;SGF;usurper;3;Feeding;11.03.2024;;6;17;10:20:00;2;0;0;2;0;1;1;1;2;32;300;2;;;300;60;90;0;5936.7041;1;;0;1;0;5;
wfcln64;wfcln64-4;Control;control;4;Feeding;12.03.2024;;7;17;06:33:00;2;0;0;2;0;0;0;0;2;0;120;;129;179;224;60;90;0;;;;0;1;0;5;
wfcln75;wfcln75-1;SGF;usurper;1;Feeding;01.03.2024;;7;25;06:34:00;1;1;2;4;0;2;2;1;2;420;180;12;;;300;80;0;0;9457.3829;1;;0;1;0;4.5;
wfcln75;wfcln75-2;Owl;predator;2;Feeding;01.03.2024;;7;25;07:26:00;1;2;4;6;0;2;2;1;2;456;1200;2;;;300;80;0;0;9655.4882;2;;0;1;0;4.5;
wfcln75;wfcln75-3;Ani;predator;3;Feeding;01.03.2024;;7;25;08:44:00;1.5;0;0;1;0;1;1;1;1;207;1200;35;235;;254;80;0;0;8733.8673;1;;0;1;0;4.5;
wfcln75;wfcln75-4;Control;control;4;Feeding;01.03.2024;;7;25;10:39:00;2;2;4;6;0;2;2;1;2;196;540;2;;;300;80;80;0;7820.8593;1;;0;1;0;4.5;
wfcln77;wfcln77-1;Ani;predator;1;Feeding;27.02.2024;;12;17;09:35:00;3;2;5;7;2;4;2;1;2;481;480;13;;;300;60;0;0;7519.3945;2;15.5;1;1;0;2.5;
wfcln77;wfcln77-2;Control;control;2;Feeding;27.02.2024;;12;17;10:42:00;3;0;0;1;0;0;0;0;1;0;600;;85;;85;60;10;3;;;15.5;1;1;0;2.5;
wfcln77;wfcln77-3;SGF;usurper;3;Feeding;27.02.2024;;12;17;11:40:00;3;0;0;2;0;0;0;0;2;0;120;;;;300;60;0;4;;;15.5;1;1;0;2.5;
wfcln77;wfcln77-4;Owl;predator;4;Feeding;28.02.2024;;13;17;06:56:00;2;2;4;6;2;4;2;1;2;462;120;24;;;300;60;0;0;7252.3829;2;15.5;1;1;0;2.5;
wfcln79;wfcln79-1;Control;control;1;Building;26.02.2024;;;0;07:04:00;2;0;0;1;0;1;1;1;1;5;0;21;290;;290;100;30;0;6236.0156;1;18.7;1;2;0;3.5;
wfcln79;wfcln79-2;SGF;usurper;2;Building;26.02.2024;;;0;08:11:00;1;0;0;2;0;2;2;1;2;113;60;52;240;240;240;100;20;0;4763.1444;2;18.7;1;2;0;3.5;1
wfcln79;wfcln79-3;Ani;predator;3;Building;26.02.2024;;;0;09:39:00;3;0;0;1;0;0;0;0;1;0;300;;130;;130;100;0;0;;;18.7;1;2;0;3.5;
wfcln79;wfcln79-4;Owl;predator;4;Building;26.02.2024;;;0;10:55:00;1;2;0;2;1;3;2;1;2;69;0;281;;;300;100;20;0;7157.6368;1;18.7;1;2;0;3.5;
wfcls01;wfcls01-1;SGF;usurper;1;Feeding;10.02.2024;PC;9;0;06:21:00;2;1;2;4;;2;2;1;2;;60;;;;300;100;100;0;;;7.1;1;1;0;5;
wfcls01;wfcls01-2;Ani;predator;2;Feeding;10.02.2024;PC;9;0;07:41:00;1;0;0;2;0;2;2;1;2;;60;;;;300;100;100;0;;;7.1;1;1;0;5;
wfcls01;wfcls01-3;Owl;predator;3;Feeding;10.02.2024;PC;9;0;08:45:00;1.5;2;5;7;2;4;2;1;2;;0;;;;300;100;100;0;;;7.1;1;1;0;5;
wfcls01;wfcls01-4;Control;control;4;Feeding;10.02.2024;PC;9;0;09:59:00;1.5;0;0;2;0;2;2;1;2;;60;;;;300;100;100;0;;;7.1;1;1;0;5;
wfcre11;wfcre11-1;Ani;predator;1;Building;13.03.2024;;;49;08:58:00;1;1;1;3;0;1;1;1;2;54;180;76;;;300;60;80;0;7149.0235;1;;0;1;0;7;
wfcre11;wfcre11-2;SGF;usurper;2;Building;13.03.2024;;;49;10:17:00;0.5;0;0;1;0;0;0;0;1;0;0;;150;;150;60;80;0;;;;0;1;0;7;
wfcre11;wfcre11-3;Owl;predator;3;Building;13.03.2024;;;49;11:17:00;1.5;1;1;3;0;1;1;1;2;300;300;45;;;300;60;100;0;7820.8593;1;;0;1;0;7;
wfcre11;wfcre11-4;Control;control;4;Building;14.03.2024;;;49;06:38:00;1.5;0;0;2;0;1;1;1;2;27;0;2;262;262;262;60;10;0;7045.6641;1;;0;1;0;7;
wfcre12;wfcre12-1;Ani;predator;1;Building;19.03.2024;;;6;09:32:00;3;0;0;2;0;0;0;0;2;0;600;;64;64;64;50;80;0;;;12.1;1;1;0;6;
wfcre15;wfcre15-1;Owl;predator;1;Building;19.03.2024;;;5;07:17:00;2;0;0;2;0;1;1;1;2;35;600;225;;;300;70;10;0;6959.5313;1;14;1;1;0;5.5;1
wfcre15;wfcre15-2;Ani;predator;2;Building;19.03.2024;;;5;08:15:00;3;0;0;2;0;0;0;0;2;0;1380;;;;300;70;10;0;;;14;1;1;0;5.5;
wfcre15;wfcre15-3;Control;control;3;Building;20.03.2024;;;5;07:00:00;4;0;0;1;0;0;0;0;1;0;1140;;30;;30;70;100;0;;;14;1;1;0;5.5;
wfcre15;wfcre15-4;SGF;usurper;4;Building;20.03.2024;;;5;08:54:00;2;0;0;1;0;0;0;0;1;0;540;;80;;80;70;100;0;;;14;1;1;0;5.5;
wfcrj33;wfcrj33-1;Ani;predator;1;Feeding;05.03.2024;;11;31;07:38:00;1.5;1;2;4;0;2;2;1;2;108;0;23;;;300;70;0;0;7579.6875;1;16;2;2;0;3;
wfcrj33;wfcrj33-2;SGF;usurper;2;Feeding;05.03.2024;;11;31;08:23:00;2.5;0;0;1;0;0;0;0;1;0;1380;;;;300;70;0;0;;;16;2;2;0;3;1
